secondary_sample_accession	fastq_ftp	sample_title
SRS1159270	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920517/SRR2920517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920517/SRR2920517_2.fastq.gz	Donor5483-Bcell-13A-150305
SRS1159268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920518/SRR2920518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920518/SRR2920518_2.fastq.gz	Donor5483-CD4-9A-150305
SRS1159267	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920519/SRR2920519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920519/SRR2920519_2.fastq.gz	Donor5483-CD4-9B-150305
SRS1159266	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920520/SRR2920520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920520/SRR2920520_2.fastq.gz	Donor5483-CD8-10A-150305
SRS1159265	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920521/SRR2920521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920521/SRR2920521_2.fastq.gz	Donor5483-CD8-10B-150305
SRS1159264	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920522/SRR2920522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920522/SRR2920522_2.fastq.gz	Donor5483-CLP-14A-150305
SRS1159263	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920523/SRR2920523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920523/SRR2920523_2.fastq.gz	Donor5483-Erythroblast-15A-150305
SRS1159262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920524/SRR2920524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920524/SRR2920524_2.fastq.gz	Donor5483-Erythroblast-15B-150305
SRS1159261	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920525/SRR2920525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920525/SRR2920525_2.fastq.gz	Donor5483-Erythroblast-15C-150305
SRS1159260	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920526/SRR2920526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920526/SRR2920526_2.fastq.gz	Donor5483-NK-11A-150305
